,year,age,race:AfricanAmerican,race:Asian,race:Caucasian,race:Hispanic,race:Other,hypertension,heart_disease,bmi,hbA1c_level,blood_glucose_level,sleep_hours,family_history,medication_use,gestational_history,environmental_risk
year,1.0,-0.003,-0.004,-0.007,0.011,0.004,-0.003,-0.004,0.002,-0.002,-0.0,0.003,-0.003,-0.008,0.001,-0.008,0.007
age,-0.003,1.0,-0.002,0.004,0.004,0.002,-0.007,0.251,0.233,0.337,0.101,0.111,-0.0,0.003,0.0,0.001,-0.001
race:AfricanAmerican,-0.004,-0.002,1.0,-0.252,-0.251,-0.251,-0.252,-0.001,-0.001,-0.001,0.001,0.002,-0.005,0.001,-0.0,-0.004,0.001
race:Asian,-0.007,0.004,-0.252,1.0,-0.249,-0.249,-0.25,0.004,0.006,0.005,-0.0,0.0,0.0,0.001,-0.005,0.008,0.002
race:Caucasian,0.011,0.004,-0.251,-0.249,1.0,-0.248,-0.249,0.001,-0.001,-0.002,-0.004,0.004,0.004,0.001,0.003,-0.001,-0.009
race:Hispanic,0.004,0.002,-0.251,-0.249,-0.248,1.0,-0.249,0.001,-0.001,0.002,0.0,-0.003,0.001,-0.003,0.0,-0.0,-0.001
race:Other,-0.003,-0.007,-0.252,-0.25,-0.249,-0.249,1.0,-0.005,-0.004,-0.004,0.003,-0.004,-0.0,0.0,0.002,-0.002,0.006
hypertension,-0.004,0.251,-0.001,0.004,0.001,0.001,-0.005,1.0,0.121,0.148,0.081,0.084,0.002,-0.003,-0.001,0.005,-0.004
heart_disease,0.002,0.233,-0.001,0.006,-0.001,-0.001,-0.004,0.121,1.0,0.061,0.068,0.07,-0.001,-0.004,-0.005,-0.004,-0.004
bmi,-0.002,0.337,-0.001,0.005,-0.002,0.002,-0.004,0.148,0.061,1.0,0.083,0.091,0.003,-0.002,0.001,0.009,0.001
hbA1c_level,-0.0,0.101,0.001,-0.0,-0.004,0.0,0.003,0.081,0.068,0.083,1.0,0.167,0.005,0.002,-0.003,0.001,-0.006
blood_glucose_level,0.003,0.111,0.002,0.0,0.004,-0.003,-0.004,0.084,0.07,0.091,0.167,1.0,0.003,-0.001,-0.001,0.001,-0.007
sleep_hours,-0.003,-0.0,-0.005,0.0,0.004,0.001,-0.0,0.002,-0.001,0.003,0.005,0.003,1.0,0.002,0.003,-0.001,0.002
family_history,-0.008,0.003,0.001,0.001,0.001,-0.003,0.0,-0.003,-0.004,-0.002,0.002,-0.001,0.002,1.0,-0.003,-0.001,-0.002
medication_use,0.001,0.0,-0.0,-0.005,0.003,0.0,0.002,-0.001,-0.005,0.001,-0.003,-0.001,0.003,-0.003,1.0,-0.007,0.004
gestational_history,-0.008,0.001,-0.004,0.008,-0.001,-0.0,-0.002,0.005,-0.004,0.009,0.001,0.001,-0.001,-0.001,-0.007,1.0,0.003
environmental_risk,0.007,-0.001,0.001,0.002,-0.009,-0.001,0.006,-0.004,-0.004,0.001,-0.006,-0.007,0.002,-0.002,0.004,0.003,1.0
